goos: darwin
goarch: arm64
pkg: github.com/jub0bs/errutil
cpu: Apple M4
BenchmarkAll/impl=errutil.As/c=nil_error,_non-nil_target-10    	   10000	        19.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_non-nil_target-10    	   10000	        20.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.529 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.538 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.492 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.521 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.521 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_non-nil_target-10  	   10000	         3.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        71.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        71.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        65.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        67.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        65.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        71.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        64.85 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        64.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        64.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=no_match-10                      	   10000	        71.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        27.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        25.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        26.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        26.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        28.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        26.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        25.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        24.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        25.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=no_match-10                     	   10000	        25.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.733 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.796 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.737 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.800 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.750 ns/op	       0 B/op	       0 allocs/op
